Astragalus cavanillesii;;Critically Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/61650/0
Speleomantes supramontis;Supramonte Cave Salamander;Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/20459/0
Huso huso;Beluga;Endangered;;http://www.iucnredlist.org/apps/redlist/details/10271/0
Squalius keadicus;;Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/60738/0
Luciobarbus graecus;;Endangered;Unknown;http://www.iucnredlist.org/apps/redlist/details/60805/0
Biscutella rotgesii;;Critically Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/61630/0
Femeniasia balearica;;Critically Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/61622/0
Prespolitorea malaprespensis;;Critically Endangered;Unknown;http://www.iucnredlist.org/apps/redlist/details/155607/0
Bythiospeum cisterciensorum;;Critically Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/3403/0
Centranthus trinervis;;Critically Endangered;Unknown;http://www.iucnredlist.org/apps/redlist/details/61648/0
Belgrandiella boetersi;;Critically Endangered;Unknown;http://www.iucnredlist.org/apps/redlist/details/155972/0
Alburnus volviticus;Yalartza;Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/135641/0
Belgrandiella bachkovoensis;;Critically Endangered;Unknown;http://www.iucnredlist.org/apps/redlist/details/172032/0
Salenthydrobia ferrerii;;Endangered;Unknown;http://www.iucnredlist.org/apps/redlist/details/155788/0
Arenaria bolosii;;Critically Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/61633/0
Bupleurum kakiskalae;;Critically Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/61611/0
Bythiospeum pfeifferi;;Critically Endangered;Unknown;http://www.iucnredlist.org/apps/redlist/details/3410/0
Bupleurum dianthifolium;;Critically Endangered;Unknown;http://www.iucnredlist.org/apps/redlist/details/61609/0
Narcissus alcaracensis;;Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/61600/0
Acipenser nudiventris;Ship Sturgeon;Endangered;;http://www.iucnredlist.org/apps/redlist/details/249/0
Belgrandia varica;;Critically Endangered;Unknown;http://www.iucnredlist.org/apps/redlist/details/155668/0
Cremnophyton lanfrancoi;Maltase Cliff-orache;Critically Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/61645/0
Buprestis splendens;Goldstreifiger;Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/3334/0
